sample-id	Type	Area	Plant	Vector	PWN	PWN number	Vector number	Latitude	Annual average temperature	Annual average rainfall	Collection	Year	Month	Day	Gender_TR
LNPk7	PC	LN	PK	MS		7.044863955	13.92213301	41.9527	6.1	795.3	20180402	2018	4	2	
LNPk8	PC	LN	PK	MS		7.044863955	13.92213301	41.9527	6.1	795.3	20180402	2018	4	2	
LNPk9	PC	LN	PK	MS		7.044863955	13.92213301	41.9527	6.1	795.3	20180402	2018	4	2	
LNPk10	PC	LN	PK	MS		19.35824375	46.81157034	41.9527	6.1	795.3	20190408	2019	4	8	
LNPk11	PC	LN	PK	MS		19.35824375	46.81157034	41.9527	6.1	795.3	20190408	2019	4	8	
LNPk12	PC	LN	PK	MS		19.35824375	46.81157034	41.9527	6.1	795.3	20190408	2019	4	8	
LNPk13	PC	LN	PK	MS		19.35824375	46.81157034	41.9527	6.1	795.3	20190417	2019	4	17	
LNPk15	PC	LN	PK	MS		19.35824375	46.81157034	41.9527	6.1	795.3	20190417	2019	4	17	
LNPk16	PC	LN	PK	MS		19.35824375	46.81157034	41.9527	6.1	795.3	20190417	2019	4	17	
LNPR	PC	LN	PT	MS		101.1528776	13.51428126	41.9527	6.1	795.3	20180402	2018	4	2	
LNPt1	PC	LN	PT	MS		101.1528776	13.51428126	41.9527	6.1	795.3	20180402	2018	4	2	
LNPt2	PC	LN	PT	MS		101.1528776	13.51428126	41.9527	6.1	795.3	20180402	2018	4	2	
LNPt3	PC	LN	PT	MS		101.1528776	13.51428126	41.9527	6.1	795.3	20180402	2018	4	2	
LNPt4	PC	LN	PT	MS		101.1528776	13.51428126	41.9527	6.1	795.3	20180402	2018	4	2	
LNPt5	PC	LN	PT	MS		101.1528776	13.51428126	41.9527	6.1	795.3	20180402	2018	4	2	
LNPt6	PC	LN	PT	MS		101.1528776	13.51428126	41.9527	6.1	795.3	20180402	2018	4	2	
LNPt7	PC	LN	PT	MS		65.32275039	40.10120191	41.9527	6.1	795.3	20190327	2019	3	27	
LNPt8	PC	LN	PT	MS		65.32275039	40.10120191	41.9527	6.1	795.3	20190327	2019	3	27	
LNPt9	PC	LN	PT	MS		65.32275039	40.10120191	41.9527	6.1	795.3	20190327	2019	3	27	
LNPt10	PC	LN	PT	MS		65.32275039	40.10120191	41.9527	6.1	795.3	20190327	2019	3	27	
LNPt11	PC	LN	PT	MS		65.32275039	40.10120191	41.9527	6.1	795.3	20190408	2019	4	8	
SXPa1	PC	SX	PA	MA		9.352282425	14.17658341	33.57773286	13.4	731.9	20180421	2018	4	21	
SXPa2	PC	SX	PA	MA		9.352282425	14.17658341	33.57773286	13.4	731.9	20180421	2018	4	21	
SXPa3	PC	SX	PA	MA		9.352282425	14.17658341	33.57773286	13.4	731.9	20180421	2018	4	21	
SXPa4	PC	SX	PA	MA		9.352282425	14.17658341	33.57773286	13.4	731.9	20180421	2018	4	21	
SXPa5	PC	SX	PA	MA		9.352282425	14.17658341	33.57773286	13.4	731.9	20180421	2018	4	21	
SXPa6	PC	SX	PA	MA		14.06336229	48.18237532	33.57773286	13.4	731.9	20190514	2019	5	14	
SXPa7	PC	SX	PA	MA		14.06336229	48.18237532	33.57773286	13.4	731.9	20190514	2019	5	14	
SXPa8	PC	SX	PA	MA		14.06336229	48.18237532	33.57773286	13.4	731.9	20190514	2019	5	14	
SXPa9	PC	SX	PA	MA		14.06336229	48.18237532	33.57773286	13.4	731.9	20190514	2019	5	14	
SXPa10	PC	SX	PA	MA		14.06336229	48.18237532	33.57773286	13.4	731.9	20190514	2019	5	14	
SXPt1	PC	SX	PT	MA		20.53809916	7.856893274	33.57773286	13.4	731.9	20180517	2018	5	17	
SXPt2	PC	SX	PT	MA		20.53809916	7.856893274	33.57773286	13.4	731.9	20180517	2018	5	17	
SXPt3	PC	SX	PT	MA		4.211428078	40.69168286	33.57773286	13.4	731.9	20190506	2019	5	6	
SXPt4	PC	SX	PT	MA		4.211428078	40.69168286	33.57773286	13.4	731.9	20190506	2019	5	6	
SXPt5	PC	SX	PT	MA		4.211428078	40.69168286	33.57773286	13.4	731.9	20190506	2019	5	6	
SXPt6	PC	SX	PT	MA		4.211428078	40.69168286	33.57773286	13.4	731.9	20190506	2019	5	6	
SXPt7	PC	SX	PT	MA		4.211428078	40.69168286	33.57773286	13.4	731.9	20190506	2019	5	6	
SXPt8	PC	SX	PT	MA		4.211428078	40.69168286	33.57773286	13.4	731.9	20190506	2019	5	6	
SXPt9	PC	SX	PT	MA		4.211428078	40.69168286	33.57773286	13.4	731.9	20190506	2019	5	6	
ZJPm1	PC	ZJ	PM	MA		3.198151304	13.52378341	30.0231	16.2	1460	20180413	2018	4	13	
ZJPm2	PC	ZJ	PM	MA		3.198151304	13.52378341	30.0231	16.2	1460	20180413	2018	4	13	
ZJPm3	PC	ZJ	PM	MA		3.198151304	13.52378341	30.0231	16.2	1460	20180413	2018	4	13	
ZJPm4	PC	ZJ	PM	MA		3.198151304	13.52378341	30.0231	16.2	1460	20180413	2018	4	13	
ZJPm5	PC	ZJ	PM	MA		3.198151304	13.52378341	30.0231	16.2	1460	20180413	2018	4	13	
ZJPm6	PC	ZJ	PM	MA		3.198151304	13.52378341	30.0231	16.2	1460	20180417	2018	4	17	
ZJPm7	PC	ZJ	PM	MA		3.198151304	13.52378341	30.0231	16.2	1460	20180417	2018	4	17	
ZJPm8	PC	ZJ	PM	MA		4.913151212	38.04808975	30.0231	16.2	1460	20190422	2019	4	22	
ZJPm9	PC	ZJ	PM	MA		4.913151212	38.04808975	30.0231	16.2	1460	20190422	2019	4	22	
ZJPm10	PC	ZJ	PM	MA		4.913151212	38.04808975	30.0231	16.2	1460	20190422	2019	4	22	
ZJPm11	PC	ZJ	PM	MA		4.913151212	38.04808975	30.0231	16.2	1460	20190422	2019	4	22	
ZJPm12	PC	ZJ	PM	MA		4.913151212	38.04808975	30.0231	16.2	1460	20190422	2019	4	22	
ZJPm13	PC	ZJ	PM	MA		4.913151212	38.04808975	30.0231	16.2	1460	20190422	2019	4	22	
ZJPm14	PC	ZJ	PM	MA		4.913151212	38.04808975	30.0231	16.2	1460	20190422	2019	4	22	
ZJPm15	PC	ZJ	PM	MA		4.913151212	38.04808975	30.0231	16.2	1460	20190422	2019	4	22	
ZJPm16	PC	ZJ	PM	MA		4.913151212	38.04808975	30.0231	16.2	1460	20180417	2018	4	17	
LKF1	TR	LN	PK	MS	0						20190513	2019	5	13	Female
LKF2	TR	LN	PK	MS	0						20190513	2019	5	13	Female
LKF3	TR	LN	PK	MS	0						20190514	2019	5	14	Female
LKF4	TR	LN	PK	MS	0						20190514	2019	5	14	Female
LKF5	TR	LN	PK	MS	0						20190515	2019	5	15	Female
LKM2	TR	LN	PK	MS	0						20190513	2019	5	13	Male
LKM3	TR	LN	PK	MS	0						20190513	2019	5	13	Male
LKM4	TR	LN	PK	MS	0						20190514	2019	5	14	Male
MSHF5	TR	LN	PK	MS	0						20180515	2018	5	15	Female
LTF2	TR	LN	PT	MS	0						20190517	2019	5	17	Female
LTM1	TR	LN	PT	MS	0						20190514	2019	5	14	Male
LTM2	TR	LN	PT	MS	0						20190515	2019	5	15	Male
LTM3	TR	LN	PT	MS	0						20190515	2019	5	15	Male
LTM5	TR	LN	PT	MS	0						20190523	2019	5	23	Male
SXF8	TR	SX	PA	MA	1						20190621	2019	6	21	Female
SXMAF1	TR	SX	PA	MA	1						20180519	2018	5	19	Female
SXMAF2	TR	SX	PA	MA	1						20180520	2018	5	20	Female
SXMAF3	TR	SX	PA	MA	0						20180519	2018	5	19	Female
SXMAF5	TR	SX	PA	MA	0						20180528	2018	5	28	Female
SXMAM1	TR	SX	PA	MA	0						20180518	2018	5	18	Male
SXMAM3	TR	SX	PA	MA	0						20180521	2018	5	21	Male
ZSF1	TR	SX	PA	MA	0						20180530	2018	5	30	Female
ZSF2	TR	SX	PA	MA	0						20180601	2018	6	1	Female
ZSM1	TR	SX	PA	MA	0						20180528	2018	5	28	Male
ZSM2	TR	SX	PA	MA	0						20180528	2018	5	28	Male
AF1	TR	AH	PM	MA	1						20180522	2018	5	22	Female
AF10	TR	AH	PM	MA	1						20190520	2019	5	20	Female
AF11	TR	AH	PM	MA	0						20190520	2019	5	20	Female
AF2	TR	AH	PM	MA	0						20180525	2018	5	25	Female
AF4	TR	AH	PM	MA	1						20180526	2018	5	26	Female
AF5	TR	AH	PM	MA	1						20180526	2018	5	26	Female
AF7	TR	AH	PM	MA	1						20190513	2019	5	13	Female
AF8	TR	AH	PM	MA	0						20190517	2019	5	17	Female
AF9	TR	AH	PM	MA	0						20190517	2019	5	17	Female
AM11	TR	AH	PM	MA	0						20190527	2019	5	27	Male
AM12	TR	AH	PM	MA	0						20190528	2019	5	28	Male
AM13	TR	AH	PM	MA	0						20190528	2019	5	28	Male
AM4	TR	AH	PM	MA	1						20180525	2018	5	25	Male
AM5	TR	AH	PM	MA	1						20180525	2018	5	25	Male
AM6	TR	AH	PM	MA	1						20180530	2018	5	30	Male
AM7	TR	AH	PM	MA	1						20190510	2019	5	10	Male
AM8	TR	AH	PM	MA	0						20190517	2019	5	17	Male
ZF8	TR	ZJ	PM	MA	0						20190605	2019	6	5	Female
ZM10	TR	ZJ	PM	MA	0						20190610	2019	6	10	Male
ZM14	TR	ZJ	PM	MA	0						20190612	2019	6	12	Male
ZMAF1	TR	ZJ	PM	MA	0						20180515	2018	5	15	Male
ZMAF2	TR	ZJ	PM	MA	0						20180516	2018	5	16	Male
ZMAM2	TR	ZJ	PM	MA	0						20180515	2018	5	15	Male
ZTR1	TR	ZJ	PM	MA	1						20180605	2018	6	5	Male
ZTR10	TR	ZJ	PM	MA	1						20180610	2018	6	10	Male
ZTR12	TR	ZJ	PM	MA	1						20180610	2018	6	10	Male
ZTR2	TR	ZJ	PM	MA	1						20180605	2018	6	5	Female
ZTR3	TR	ZJ	PM	MA	1						20180607	2018	6	7	Male
ZTR4	TR	ZJ	PM	MA	1						20180607	2018	6	7	Male
ZTR5	TR	ZJ	PM	MA	1						20180609	2018	6	9	Male
ZTR7	TR	ZJ	PM	MA	1						20180609	2018	6	9	Male
ZTR9	TR	ZJ	PM	MA	1						20180610	2018	6	10	Female
NF1	TR	JS	PM	MA	1						20180525	2018	5	25	Female
NF2	TR	JS	PM	MA	1						20180527	2018	5	27	Female
NF3	TR	JS	PM	MA	1						20180610	2018	6	10	Female
NF4	TR	JS	PM	MA	1						20180615	2018	6	15	Female
NF5	TR	JS	PM	MA	1						20180615	2018	6	15	Female
NM1	TR	JS	PM	MA	1						20180527	2018	5	27	Male
NM2	TR	JS	PM	MA	1						20180527	2018	5	27	Male
NM5	TR	JS	PM	MA	0						20180530	2018	5	30	Male
JM6	TR	JS	PM	MA	0						20190618	2019	6	18	Male
JFgut1	GUT	JS	PM	MA							20190627	2019	6	27	
LND3-1	D3	LN	PT	MS							20180415	2018	4	15	
LND3-2	D3	LN	PT	MS							20180415	2018	4	15	
LND3-3	D3	LN	PT	MS							20180415	2018	4	15	
ZJD4-1	D4	ZJ	PM	MA							20180606	2018	6	6	
ZJD4-2	D4	ZJ	PM	MA							20180606	2018	6	6	
JSD4	D4	JS	PM	MA							20190502	2019	5	2	
SXD4	D4	SX	PA	MA							20190517	2019	5	17	
JSLn	Ln	JS	PM	MA							20180513	2018	5	13	
AHD4-1	D4	AH	PM	MA							20200616	2020	6	16	
AHD4-2	D4	AH	PM	MA							20200701	2020	7	1	
AHD320	D3	AH	PM	MA							20200521	2020	5	21	
JSD320	D3	JS	PM	MA							20200515	2020	5	15	
LND318	D3	LN	PT	MS							20180402	2018	4	2	
LND320	D3	LN	PT	MS							20200521	2020	5	21	
SxaD318	D3	SX	PA	MA							20180422	2018	4	22	
SXtD318	D3	SX	PT	MA							20180426	2018	4	26	
															
